Name,Time,Artist,Album,Genre,Plays,Skips,Date Added,
Gorgeous,2:29,Mansionz,Mansionz,Pop,1,,"1/9/21, 10:22 PM","1/9/21, 10:25 PM"
July,2:36,Noah Cyrus,The End of Everything,Easy Listening,,2,"1/9/21, 10:21 PM",
Dynamite,3:19,BTS,Dynamite - Single,Pop,,,"1/9/21, 10:21 PM",
Holy ft. Chance The Rapper,3:32,Justin Bieber,Holy (feat. Chance The Rapper) - Single,Pop,,,"1/9/21, 10:20 PM",
Knock Knock,3:23,Mac Miller,Knock Knock - Single,Hip Hop/Rap,,,"1/9/21, 10:20 PM",
Unchained Melody,3:55,Mike Yung,Unchained Melody - Single,Soul,1,,"1/9/21, 10:19 PM","1/9/21, 10:32 PM"
Home,3:30,Phillip Phillips,The World From the Side of the Moon,Folk,,,"1/9/21, 10:18 PM",
Afterglow,3:06,Ed Sheeran,Afterglow - Single,Folk,,,"1/9/21, 10:16 PM",
What I'd Give,3:12,LVNDSCAPE,What I'd Give - Single,Dance,,,"1/9/21, 10:15 PM",
How Can I Forget (Ryan Riback Remix),2:43,MKTO,How Can I Forget (Ryan Riback Remix) - Single,Dance,,,"1/9/21, 10:13 PM",
Love Me Like There's No Tomorrow,3:45,Freddie Mercury,Never Boring,Rock,1,3,"12/17/20, 6:31 PM","12/17/20, 6:35 PM"
We Will Rock You,2:02,Queen,News of the World (Deluxe Edition),Rock,,1,"12/17/20, 6:28 PM",
Don't Stop Me Now,3:30,Queen,"The Platinum Collection (Greatest Hits I, II, III)",Rock,1,1,"12/11/20, 10:14 AM","12/11/20, 10:17 AM"
I Want To Break Free,4:18,Queen,"The Platinum Collection (Greatest Hits I, II, III)",Rock,,2,"12/11/20, 10:13 AM",
What Do I Know,3:57,Ed Sheeran,÷,Pop,,1,"12/11/20, 10:13 AM",
Hearts Don't Break Round Here,4:08,Ed Sheeran,÷,Pop,,,"12/11/20, 10:12 AM",
Love Of My Life,3:37,Queen,A Night at the Opera (Deluxe Edition),Rock,,3,"12/11/20, 10:12 AM",
Animal,3:32,Neon Trees,Habits (Bonus Track Version),Pop,,1,"12/11/20, 10:11 AM",
Time Waits For No One,3:24,Freddie Mercury,Time Waits For No One - SIngle,Pop,,1,"12/11/20, 10:11 AM",
Forget You,3:43,CeeLo Green,The Lady Killer,Pop,,1,"12/11/20, 10:10 AM",
At My Worst,2:50,Pink Sweat$,The Prelude,Pop,,1,"12/11/20, 10:10 AM",
Who Loves You,2:56,Jersey Boys,Jersey Boys (Original Broadway Cast Recording),Oldie,,1,"12/11/20, 10:10 AM",
My Life Be Like (Ooh-Aah),3:54,Grits,The Art of Translation,Hip Hop/Rap,,1,"12/11/20, 10:09 AM",
Looking At You,2:33,Two Friends,Looking At You (feat. Sam Vesso),Dance,1,2,"12/11/20, 10:08 AM","1/6/21, 12:35 PM"
Stronger,5:12,Kanye West,Graduation,Pop,,1,"12/11/20, 10:08 AM",
Girls in the Hood,2:45,Megan Thee Stallion,Good News,Hip Hop/Rap,2,,"12/11/20, 10:07 AM","12/17/20, 6:50 PM"
Bags,4:21,Clairo,Immunity,Alternative,1,3,"11/10/20, 12:49 PM","11/14/20, 12:59 PM"
Can I Call You Tonight,4:39,Dayglow,Fuzzybrain,Indie,1,3,"11/10/20, 12:29 PM","11/14/20, 4:48 PM"
We Found Love,3:35,Rihanna,Talk That Talk,Pop,1,2,"11/10/20, 10:17 AM","11/10/20, 10:20 AM"
Same Girl ft. Usher,4:13,R. Kelly,The Essential R. Kelly,R&B,1,2,"11/10/20, 10:15 AM","11/15/20, 1:00 PM"
I'm a Flirt Remix,5:31,R. Kelly,The Essential R. Kelly,R&B,,2,"11/10/20, 10:15 AM",
Kids,5:03,MGMT,Oracular Spectacular,Indie,1,2,"11/10/20, 10:14 AM","11/14/20, 12:22 AM"
Pumped Up Kicks,4:00,Foster The People,Torches,Indie,3,2,"11/10/20, 10:14 AM","12/15/20, 3:20 PM"
Feel So Close,3:23,Calvin Harris,18 Months,Pop,1,2,"11/10/20, 10:11 AM","11/25/20, 6:30 PM"
Runaway ft. Pusha T,8:52,Kanye West,My Beautiful Dark Twisted Fantasy,Rap,17,1,"11/7/20, 10:54 AM","12/9/20, 6:15 AM"
Put Your Records On,3:31,Ritt Momney,Put Your Records On - Single,Indie,8,1,"11/7/20, 10:53 AM","12/3/20, 11:55 PM"
Metalingus,4:20,Alter Bridge,One Day Remains,Rock,2,2,"11/7/20, 10:53 AM","11/25/20, 4:23 PM"
